category,product_name,total_price,quantity,num_transactions,avg_rating
Automotive,Air Freshener,563015.92,1112,205,2.1902439024390246
Automotive,Car Wax,553539.7,1128,207,2.1497584541062804
Automotive,Floor Mats,607608.07,1147,200,2.13
Automotive,Jump Starter,556204.67,1048,194,2.056701030927835
Automotive,Tire Gauge,583802.73,1060,186,2.1666666666666665
Beauty,Face Cream,387804.83,825,148,2.0945945945945947
Beauty,Hair Dryer,342090.28,727,132,2.053030303030303
Beauty,Lipstick,451653.91000000003,921,155,2.0838709677419356
Beauty,Nail Polish,436573.82,927,175,2.16
Beauty,Perfume,501672.42,929,174,1.9080459770114941
Beauty,Shampoo,510602.12,971,168,2.1904761904761907
Books,Biography,513056.66,1005,181,2.0497237569060776
Books,Cookbook,440471.61,840,153,1.8104575163398693
Books,Fiction Novel,381409.77,778,144,2.1597222222222223
Books,History,415591.53,839,154,1.9805194805194806
Books,Science Fiction,474859.3,930,163,2.1165644171779143
Books,Self-Help,479510.02999999997,949,169,2.1301775147928996
Clothing,Dress,399230.93,883,172,1.930232558139535
Clothing,Hat,392570.26,783,140,2.5785714285714287
Clothing,Jacket,440692.72000000003,939,177,2.146892655367232
Clothing,Jeans,345367.09,704,126,2.134920634920635
Clothing,Shoes,414973.93,787,144,1.8888888888888888
Clothing,Socks,368211.9,782,135,2.096296296296296
Clothing,T-shirt,406693.5,807,154,2.2012987012987013
Electronics,Camera,307302.88,715,131,2.213740458015267
Electronics,Headphones,418561.87,803,134,2.298507462686567
Electronics,Laptop,418021.25,844,158,2.0253164556962027
Electronics,Smart Watch,422997.6,811,145,2.220689655172414
Electronics,Smartphone,428089.98,828,141,2.0425531914893615
Electronics,TV,400783.09,787,135,1.8962962962962964
Electronics,Tablet,383248.84,761,148,2.1621621621621623
Grocery,Canned Goods,488415.12,927,162,2.1604938271604937
Grocery,Cereal,436592.02,892,170,2.223529411764706
Grocery,Coffee,401442.28,830,150,2.1066666666666665
Grocery,Frozen Meals,447813.9,930,165,2.0545454545454547
Grocery,Pasta,454118.48,862,161,2.142857142857143
Grocery,Snacks,498235.88,885,165,1.993939393939394
Health,Bandages,539363.79,1089,201,1.8805970149253732
Health,First Aid Kit,595042.3,1123,198,2.101010101010101
Health,Pain Reliever,516599.1,1039,195,2.01025641025641
Health,Thermometer,619390.66,1188,207,2.072463768115942
Health,Vitamins,613281.47,1216,230,1.9434782608695653
Home & Kitchen,Blender,542814.91,1037,191,1.9528795811518325
Home & Kitchen,Coffee Maker,511463.34,973,178,1.9719101123595506
Home & Kitchen,Knife Set,438501.55,878,173,1.9653179190751444
Home & Kitchen,Microwave,439121.17,873,167,2.0838323353293413
Home & Kitchen,Plates,443020.67,869,166,2.1686746987951806
Home & Kitchen,Toaster,459648.56,925,168,2.0654761904761907
Sports,Basketball,497385.28,988,180,2.111111111111111
Sports,Bicycle,528861.92,988,173,2.0635838150289016
Sports,Dumbbells,455006.44,868,156,1.7756410256410255
Sports,Running Shoes,520185.62,1042,184,2.152173913043478
Sports,Tennis Racket,498868.17,986,168,2.0952380952380953
Sports,Yoga Mat,432493.68,887,163,1.9754601226993864
Toys,Action Figure,407372.14,880,159,2.106918238993711
Toys,Board Game,492827.33,900,169,2.106508875739645
Toys,Building Blocks,419690.7,842,161,2.1490683229813663
Toys,Doll,425411.15,846,165,2.096969696969697
Toys,Puzzle,404647.79,871,156,1.9743589743589745
Toys,Stuffed Animal,484785.77,954,171,2.0058479532163744
