date,total_price,quantity,num_transactions
2024-03-18,54828.82000000001,103,19
2024-03-19,100245.54,182,34
2024-03-20,61927.749999999985,131,26
2024-03-21,80098.03000000001,169,31
2024-03-22,101910.13,176,30
2024-03-23,79736.48,177,33
2024-03-24,47011.46,103,21
2024-03-25,82704.96,161,26
2024-03-26,59707.26,114,17
2024-03-27,76277.36,147,23
2024-03-28,73699.34,151,25
2024-03-29,83702.55,192,32
2024-03-30,84447.12999999999,168,30
2024-03-31,89180.32999999999,158,27
2024-04-01,90992.5,207,38
2024-04-02,72894.69,166,29
2024-04-03,81325.76000000001,161,30
2024-04-04,67590.01999999999,150,26
2024-04-05,92251.78,184,34
2024-04-06,31500.83,88,16
2024-04-07,85051.71,191,33
2024-04-08,81274.87,142,30
2024-04-09,64103.259999999995,166,32
2024-04-10,62597.31999999999,125,28
2024-04-11,56147.02999999999,150,29
2024-04-12,69653.01,136,24
2024-04-13,99028.48999999999,178,30
2024-04-14,39409.649999999994,107,18
2024-04-15,52848.35,105,20
2024-04-16,66056.84000000001,145,25
2024-04-17,98147.16,186,30
2024-04-18,48844.58,102,22
2024-04-19,90495.67,200,34
2024-04-20,67472.55,165,27
2024-04-21,55077.70999999999,120,18
2024-04-22,42251.82,100,18
2024-04-23,100674.65999999999,185,34
2024-04-24,57570.05,136,25
2024-04-25,93446.01000000001,189,38
2024-04-26,69741.82,144,30
2024-04-27,63394.17999999999,109,21
2024-04-28,86714.15,165,32
2024-04-29,52876.29000000001,104,23
2024-04-30,54781.52,134,27
2024-05-01,70690.91,161,25
2024-05-02,61270.600000000006,117,25
2024-05-03,95464.30000000002,175,29
2024-05-04,58041.24,138,22
2024-05-05,105786.36,213,34
2024-05-06,96279.55,211,36
2024-05-07,50514.700000000004,131,30
2024-05-08,68264.3,144,30
2024-05-09,96122.0,215,35
2024-05-10,83784.95000000001,185,33
2024-05-11,78920.51,152,27
2024-05-12,68569.12000000001,162,29
2024-05-13,95064.28,205,33
2024-05-14,117473.61,200,32
2024-05-15,78360.40000000001,134,28
2024-05-16,93120.63999999998,160,28
2024-05-17,54123.509999999995,122,21
2024-05-18,77394.64000000001,149,30
2024-05-19,74963.54,127,24
2024-05-20,62334.56999999999,128,22
2024-05-21,108266.89,169,32
2024-05-22,49177.85,98,17
2024-05-23,72450.59,128,27
2024-05-24,70687.34,128,25
2024-05-25,68306.44,110,19
2024-05-26,67762.68000000001,152,23
